cadena_id,cadena,siglas,nombre_tienda,dimension,mediciones,promedio
1,Zorro Abarrotero,ZAT,Zorro Atizapán,Ofertas y precios,3,70.83
1,Zorro Abarrotero,ZTY,Zorro Tulyehualco,Ofertas y precios,3,68.17
1,Zorro Abarrotero,ZA2,Zorro Alta Tensión 2,Ofertas y precios,3,66.67
1,Zorro Abarrotero,ZAL,Zorro Alta Tensión,Ofertas y precios,3,66.67
1,Zorro Abarrotero,ZE3,Zorro Ecatepec 3,Ofertas y precios,3,66.67
1,Zorro Abarrotero,ZPR,Zorro Primavera,Ofertas y precios,3,66.67
1,Zorro Abarrotero,ZTT,Zorro Tultitlán,Ofertas y precios,3,66.67
1,Zorro Abarrotero,ZT1,Zorro Toluca 1,Ofertas y precios,3,65.17
1,Zorro Abarrotero,ZA3,Zorro Alta Tensión 3,Ofertas y precios,3,64.00
1,Zorro Abarrotero,ZOZ,Zorro Ozumba,Ofertas y precios,3,62.50
1,Zorro Abarrotero,ZPC,Zorro Paseo Chalco,Ofertas y precios,3,62.50
1,Zorro Abarrotero,ZCP,Zorro Carrillo Puerto,Ofertas y precios,3,61.33
1,Zorro Abarrotero,FAX,Flecha Abarrotera Xochimilco,Ofertas y precios,3,59.83
1,Zorro Abarrotero,ZCH,Zorro Chicoloapan,Ofertas y precios,3,59.83
1,Zorro Abarrotero,ZCJ,Zorro Cuajimalpa,Ofertas y precios,3,59.83
1,Zorro Abarrotero,ZAZ,Zorro Cien Metros,Ofertas y precios,3,58.33
1,Zorro Abarrotero,ZCO,Zorro Contreras,Ofertas y precios,3,58.33
1,Zorro Abarrotero,CCA,Cazador Comercial,Ofertas y precios,3,56.83
1,Zorro Abarrotero,ZJR,Zorro San Juan del Río,Ofertas y precios,3,55.67
1,Zorro Abarrotero,ZCC,Zorro Carretera Cuernavaca,Ofertas y precios,3,54.17
1,Zorro Abarrotero,ZIG,Zorro Iguala,Ofertas y precios,3,51.50
1,Zorro Abarrotero,ZAR,Zorro Armas,Ofertas y precios,2,50.00
